"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","12","Message Board (Asynchronous)","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","13","Chat Room (Synchronous)","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","13","Chat Room (Synchronous)","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","13","Chat Room (Synchronous)","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","13","Chat Room (Synchronous)","MHS30h","Attended contacts in the RP by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","13","Chat Room (Synchronous)","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Other (not listed)","MHS30a","Attended contacts with perinatal MH team in Reporting Period","5"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Other (not listed)","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","275"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Other (not listed)","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","285"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Other (not listed)","MHS30h","Attended contacts in the RP by consultation medium","515"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Other (not listed)","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","5"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Invalid","Invalid","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
