"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"08/01/2018","31/08/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15365"
"08/01/2018","31/08/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","335"
"08/01/2018","31/08/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","26315"
"09/01/2018","30/09/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15300"
"09/01/2018","30/09/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","330"
"09/01/2018","30/09/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","24710"
"10/01/2018","31/10/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15380"
"10/01/2018","31/10/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","325"
"10/01/2018","31/10/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","28785"
"11/01/2018","30/11/2018","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15525"
