"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Z","Not Stated","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Z","Not Stated","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Male","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","15"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Male","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","1135"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Male","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Male","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","30"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Female","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","10"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Female","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","1060"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Female","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Female","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","25"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","3","Non-binary","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","3","Non-binary","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","3","Non-binary","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","3","Non-binary","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Other (not listed)","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Other (not listed)","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Other (not listed)","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Other (not listed)","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Indeterminate","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Indeterminate","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Indeterminate","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Indeterminate","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","UNKNOWN","UNKNOWN","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","UNKNOWN","UNKNOWN","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","UNKNOWN","UNKNOWN","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Gender","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","UNKNOWN","UNKNOWN","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
