"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","50 to 54","","1","Male",105,0,105,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","50 to 54","","2","Female",180,0,180,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","55 to 59","","1","Male",195,0,195,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","55 to 59","","2","Female",255,0,255,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","60 to 64","","1","Male",230,0,230,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","60 to 64","","2","Female",270,0,270,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","65 to 69","","1","Male",285,0,0,285
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","65 to 69","","2","Female",310,0,0,310
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","70 to 74","","1","Male",280,0,0,280
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","70 to 74","","2","Female",315,0,0,315
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","75 to 79","","1","Male",455,0,0,455
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","75 to 79","","2","Female",465,0,0,465
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","80 to 84","","1","Male",435,0,0,435
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","80 to 84","","2","Female",460,0,0,460
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","85 to 89","","1","Male",380,0,0,380
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","85 to 89","","2","Female",425,0,0,425
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","90 to 94","","1","Male",245,0,0,245
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","90 to 94","","2","Female",325,0,0,325
