"Reporting_Period","Status","Reporting_Level","Provider_Code","Provider_Name","DQ_Measure","DQ_Measure_Name","DQ_Result","DQ_Dataset_Metric_ID","Unit","Value"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM10","Primary Reason for Referral (Mental Health)","Missing","3.10.5","Percentage","34"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Missing","3.4.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Other","3.66.2","Percentage","10"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM80","Locked Ward Indicator","Missing","3.80.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM18","Service Or Team Type Referred To (Mental Health)","Other","3.18.2","Percentage","1"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM32","Referred out of area reason (adult acute mental health)","Valid","3.32.1","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM58","Organisation Identifier (code of specialised responsible commissioner) - Care Contact","Other","3.58.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM12","Organisation Identifier (Of Commissioner) - Referral","Other","3.12.2","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM46","Primary Diagnosis date","Missing","3.46.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM20","Clinical Response Priority Type","Missing","3.20.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM80","Locked Ward Indicator","Invalid","3.80.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM08","Indirect activity time (Hour)","Integrity","7.8","Percentage","39"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM52","Estimated discharge date","Missing","3.52.5","Percentage","*"
