Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
R1C,Maternity,0,31/03/2019
R1F,Maternity,15,31/03/2019
RBB,Maternity,0,30/06/2012
RBD,Maternity,33,30/06/2012
RBZ,Maternity,14,30/06/2012
RD1,Maternity,0,30/06/2012
RWX,Maternity,0,30/06/2012
RXQ,Maternity,57,30/06/2012
5QH,Maternity,0,30/06/2012
RA3,Maternity,0,30/06/2012
RA4,Maternity,25.032967,30/06/2012
RA7,Maternity,81.89011,30/06/2012
RHW,Maternity,41.78022,30/06/2012
RHX,Maternity,0,30/06/2012
RN5,Maternity,91.912088,30/06/2012
RNU,Maternity,0,30/06/2012
RTH,Maternity,156,30/06/2012
RW1,Maternity,0,30/06/2012
R1C,Maternity,0,30/06/2012
R1F,Maternity,23.296703,30/06/2012
RD7,Maternity,30.505495,30/06/2012
RD8,Maternity,40,30/06/2012
RHM,Maternity,61.318681,30/06/2012
RHU,Maternity,62,30/06/2012
RXC,Maternity,48,30/06/2012
RXH,Maternity,72,30/06/2012
RXX,Maternity,0,30/06/2012
RXY,Maternity,0,30/06/2012
RYR,Maternity,59,30/06/2012
5CQ,Maternity,0,30/06/2012
RPC,Maternity,0,30/06/2012
RTK,Maternity,54.043956,30/06/2012
RTP,Maternity,38.967033,30/06/2012
RVV,Maternity,55,30/06/2012
RWF,Maternity,48,30/06/2012
RX2,Maternity,0,30/06/2012
TAF,Maternity,0,30/06/2012
RA2,Maternity,58,30/06/2012
RDR,Maternity,0,30/06/2012
RDU,Maternity,44,30/06/2012
RN7,Maternity,40,30/06/2012
RPA,Maternity,62,30/06/2012
RVL,Maternity,60,30/06/2012
RVR,Maternity,94,30/06/2012
RWK,Maternity,0,30/06/2012
RYJ,Maternity,143,30/06/2012
RYQ,Maternity,115.175824,30/06/2012
RYX,Maternity,0,30/06/2012
RRP,Maternity,0,30/06/2012
RRV,Maternity,40.483516,30/06/2012
RT3,Maternity,0,30/06/2012
RV3,Maternity,0,30/06/2012
RV5,Maternity,0,30/06/2012
RV8,Maternity,97,30/06/2012
RP6,Maternity,0,30/06/2012
RPG,Maternity,0,30/06/2012
RPY,Maternity,0,30/06/2012
RQM,Maternity,46.307692,30/06/2012
RQX,Maternity,41,30/06/2012
RQY,Maternity,0,30/06/2012
RJ6,Maternity,56,30/06/2012
RJ7,Maternity,68.10989,30/06/2012
RJZ,Maternity,50.681319,30/06/2012
RKE,Maternity,47.076923,30/06/2012
RKL,Maternity,0,30/06/2012
RP4,Maternity,0,30/06/2012
RAX,Maternity,53,30/06/2012
RC3,Maternity,47,30/06/2012
RF4,Maternity,63,30/06/2012
RFW,Maternity,56,30/06/2012
RJ1,Maternity,98,30/06/2012
RJ2,Maternity,42,30/06/2012
R1H,Maternity,196.164835,30/06/2012
RAL,Maternity,27.142857,30/06/2012
RAN,Maternity,0,30/06/2012
RAP,Maternity,29,30/06/2012
RAS,Maternity,46,30/06/2012
RAT,Maternity,0,30/06/2012
RWN,Maternity,0,30/06/2012
RWR,Maternity,0,30/06/2012
RY3,Maternity,0,30/06/2012
RY4,Maternity,0,30/06/2012
